Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
continental-jacket,,,,,,,,l,,turquoise,,,cj-l-blue,737.08760125,shopify,6,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085310034.jpg?v=1625318604,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567900152.jpg?v=1625318604,oz,,120.00,
continental-jacket,,,,,,,,xl,,blue,,,cj-xl-blue,612.3496995,shopify,3,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/82700024_320d8d5d-d892-4fae-8ca1-a733c024e9ea.jpg?v=1625318604,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085310034.jpg?v=1625318604,oz,,120.00,
continental-jacket,,,,,,,,xl,,black,,,cj-xl-black,612.3496995,shopify,2,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085300005.jpg?v=1625318604,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567700322.jpg?v=1625318604,oz,,120.00,
continental-jacket,,,,,,,,xl,,turquoise,,,cj-xl-turq,612.3496995,shopify,1,deny,manual,288.00,288.00,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567900132.jpg?v=1625318604,oz,,120.00,
windbreaker-jacket,Windbreaker Jacket,"<meta charset=""utf-8""><meta charset=""utf-8"">
<h3><span></span></h3>
<meta charset=""utf-8"">﻿﻿<meta charset=""utf-8"">
<h3>2 pockets</h3>
<h3>100% Fine Cotton Canvas 8 oz</h3>
<h3>Sturdy Plastic YKK Zipper</h3>
<h3>Mother of Pearl buttons on cuff</h3>
<h3>Manufactured in Bali</h3>
<h3>Sizes are unisex</h3>
<h3>Medium fits most women</h3>
<br>
<h3><strong></strong></h3>
<h3><span></span></h3>",Wagner Uniform,jacket,"color:green, Jacket",true,Size,m,Color,blue,,,wj-m-blue,498.951607,shopify,3,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_windbreaker_Jacket_000084140015.jpg?v=1625318862,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085340013-2.jpg?v=1625318862,oz,,120.00,active
windbreaker-jacket,,,,,,,,m,,black,,,wj-m-black,498.951607,shopify,0,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_windbreaker_Jacket_000556840004_Blue.jpg?v=1625318862,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000556760010.jpg?v=1625318862,oz,,120.00,
windbreaker-jacket,,,,,,,,m,,green,,,wj-m-green,498.951607,shopify,0,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_windbreaker_Jacket_000556840004_Green.jpg?v=1625318862,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000556780004.jpg?v=1625318862,oz,,120.00,
windbreaker-jacket,,,,,,,,l,,blue,,,wj-l-blue,555.65065325,shopify,0,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/wagner_windbreaker_Jacket_000556840004_Alt.jpg?v=1625318862,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085340013-2.jpg?v=1625318862,oz,,120.00,
windbreaker-jacket,,,,,,,,l,,black,,,wj-l-black,555.65065325,shopify,0,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/0005567600032_6db85067-cea3-476b-b018-6dd14f18eaf0.jpg?v=1625318862,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000556760010.jpg?v=1625318862,oz,,120.00,
windbreaker-jacket,,,,,,,,l,,green,,,wj-l-green,555.65065325,shopify,1,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000556780004.jpg?v=1625318862,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000556780004.jpg?v=1625318862,oz,,120.00,
windbreaker-jacket,,,,,,,,xl,,green,,,wj-xl-green,498.951607,shopify,2,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000556760010.jpg?v=1625318862,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000556780004.jpg?v=1625318862,oz,,120.00,
windbreaker-jacket,,,,,,,,xl,,blue,,,wj-xl-blue,498.951607,shopify,0,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000556760012_copy_69c6611a-68ea-4d5e-a299-7c0af7960f40.jpg?v=1625318862,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085340013-2.jpg?v=1625318862,oz,,120.00,
windbreaker-jacket,,,,,,,,xl,,black,,,wj-xl-black,498.951607,shopify,1,deny,manual,288.00,288.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085340011.jpg?v=1625318862,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000556760010.jpg?v=1625318862,oz,,120.00,
windbreaker-jacket,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085340013-2.jpg?v=1625318862,10,,,,,,,,,,,,,,,,,,,,,,
emina-skirt,Emina Skirt,"<meta charset=""utf-8""><meta charset=""utf-8""><meta charset=""utf-8""><meta charset=""utf-8""><br>
<h3><span>Wrap Skirt </span></h3>
<h3><span>4 pockets </span></h3>
<h3><span>Back closure </span></h3>
<h3><span>Green: 100% Fine Cotton Twill 6 oz </span></h3>
<h3>Blue: 100% Cotton Brushed Twill 9 oz (not pictured)</h3>
<h3><span>Manufactured in Queens, NY</span></h3>
<h3><a href=""https://wagner-uniform.com/pages/emina-skirt-size-chart"" target=""_blank"" title=""See size chart"" rel=""noopener noreferrer"">See size chart</a></h3>
<br>",Wagner Uniform,Dress,"color:green, Dress",true,Size,xs/s,Color,green,,,es-m-green,0.0,shopify,2,deny,manual,233.00,233.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/82700007.jpg?v=1622564211,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/82700007.jpg?v=1622564211,oz,,,active
emina-skirt,,,,,,,,xs/s,,blue,,,es-s-blue,0.0,shopify,5,deny,manual,233.00,233.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000556870007-2.jpg?v=1622564211,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000556870008-2.jpg?v=1622564211,oz,,,
emina-skirt,,,,,,,,m/l,,green,,,es-s-green,428.0777991875,shopify,5,deny,manual,233.00,233.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000556870008-2.jpg?v=1622564211,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/82700007.jpg?v=1622564211,oz,,,
emina-skirt,,,,,,,,m/l,,blue,,,es-m-blue,674.718650375,shopify,5,deny,manual,233.00,233.00,true,true,"",https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085330022.jpg?v=1622564211,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000556870008-2.jpg?v=1622564211,oz,,,
emina-skirt,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085330019_1.jpg?v=1622564211,5,,,,,,,,,,,,,,,,,,,,,,
emina-skirt,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0569/5805/8653/products/000085330027.jpg?v=1622564211,6,,,,,,,,,,,,,,,,,,,,,,
